hora,temp,press,ventvel,rad,chuva,act,classe
10,313,10078,15,2852,0,1182,normal
11,315,10071,18,1694,0,943,normal
12,31,10067,25,1376,0,747,normal
13,294,10067,2,1147,0,717,anormal
14,28,10072,1,4975,32,635,normal
15,275,10074,18,3136,0,429,normal
16,27,10082,16,8328,0,199,normal
17,266,1009,13,-349,0,152,normal
18,264,10095,9,-353,0,61,normal
19,262,10101,6,-354,0,7,normal
20,259,10101,2,-354,0,17,normal
21,259,10096,3,-346,0,51,normal
22,256,10089,2,-321,0,101,normal
23,252,10085,0,-354,0,176,normal
0,251,1008,2,-353,0,158,normal
1,252,10078,4,-268,0,158,normal
2,25,1008,0,-354,0,286,normal
3,25,10085,0,-353,0,376,normal
4,254,10087,2,4341,0,707,normal
5,278,10093,6,3082,0,1244,anormal
6,29,10099,8,5001,0,1523,anormal
7,302,10099,14,8807,0,1816,normal
8,312,10099,9,1422,0,1808,normal
9,317,10093,7,1637,0,1342,normal
10,309,10083,23,2201,0,1229,normal
11,315,10073,14,1988,0,823,normal
12,322,10068,16,1795,0,1026,normal
13,323,1006,19,1620,0,868,normal
14,302,10066,26,1064,0,613,normal
15,287,10075,19,2258,0,41,normal
16,268,10081,5,2299,0,282,normal
17,26,10089,3,-327,0,203,normal
18,261,10094,11,-353,0,98,normal
19,26,10099,5,-348,0,132,anormal
20,256,10102,6,-354,0,6,normal
21,254,10099,1,-354,0,113,normal
22,252,10093,1,-354,0,124,normal
23,25,10086,0,-354,0,177,normal
0,249,10082,0,-354,0,231,normal
1,247,10084,0,-354,0,146,normal
2,246,10089,1,-354,0,208,normal
3,242,10096,0,-354,0,327,anormal
4,246,10099,1,4625,0,2336966667,anormal
5,267,10104,1,1859,0,206812138,normal
6,287,10113,15,3738,0,4741965142,normal
7,298,10112,15,9114,0,4845029659,normal
8,301,10111,14,1179,0,7820296029,normal
9,305,10103,18,1499,0,1469018527,anormal
10,31,10094,7,1318,0,1471816717,normal
11,329,10084,11,1704,0,3616256842,anormal
